Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Dustin Johnson (10765167),Dustin Johnson,10765167,G,11700,U.S. Open,Golf,99.25
G,Rory McIlroy (10765168),Rory McIlroy,10765168,G,11500,U.S. Open,Golf,80.54
G,Justin Thomas (10765169),Justin Thomas,10765169,G,11000,U.S. Open,Golf,93.15
G,Jordan Spieth (10765170),Jordan Spieth,10765170,G,10800,U.S. Open,Golf,74.61
G,Jason Day (10765171),Jason Day,10765171,G,10500,U.S. Open,Golf,87.28
G,Rickie Fowler (10765172),Rickie Fowler,10765172,G,10200,U.S. Open,Golf,78.93
G,Justin Rose (10765173),Justin Rose,10765173,G,9900,U.S. Open,Golf,95.37
G,Jon Rahm (10765174),Jon Rahm,10765174,G,9500,U.S. Open,Golf,93.32
G,Tiger Woods (10765175),Tiger Woods,10765175,G,9200,U.S. Open,Golf,71.75
G,Brooks Koepka (10765176),Brooks Koepka,10765176,G,9000,U.S. Open,Golf,80.07
G,Hideki Matsuyama (10765177),Hideki Matsuyama,10765177,G,8900,U.S. Open,Golf,71.5
G,Henrik Stenson (10765178),Henrik Stenson,10765178,G,8800,U.S. Open,Golf,79.08
G,Sergio Garcia (10765179),Sergio Garcia,10765179,G,8700,U.S. Open,Golf,70.04
G,Phil Mickelson (10765180),Phil Mickelson,10765180,G,8600,U.S. Open,Golf,86.14
G,Patrick Reed (10765181),Patrick Reed,10765181,G,8500,U.S. Open,Golf,74.21
G,Branden Grace (10765182),Branden Grace,10765182,G,8400,U.S. Open,Golf,83.89
G,Bryson DeChambeau (10765183),Bryson DeChambeau,10765183,G,8300,U.S. Open,Golf,73.41
G,Bubba Watson (10765184),Bubba Watson,10765184,G,8200,U.S. Open,Golf,73.86
G,Tommy Fleetwood (10765185),Tommy Fleetwood,10765185,G,8100,U.S. Open,Golf,85.5
G,Paul Casey (10765186),Paul Casey,10765186,G,8000,U.S. Open,Golf,77.96
G,Adam Scott (10765187),Adam Scott,10765187,G,7900,U.S. Open,Golf,60.37
G,Alexander Noren (10765188),Alexander Noren,10765188,G,7900,U.S. Open,Golf,72.66
G,Louis Oosthuizen (10765189),Louis Oosthuizen,10765189,G,7800,U.S. Open,Golf,62.12
G,Marc Leishman (10765190),Marc Leishman,10765190,G,7800,U.S. Open,Golf,77.37
G,Patrick Cantlay (10765191),Patrick Cantlay,10765191,G,7700,U.S. Open,Golf,73.75
G,Webb Simpson (10765192),Webb Simpson,10765192,G,7700,U.S. Open,Golf,71.5
G,Charl Schwartzel (10765193),Charl Schwartzel,10765193,G,7700,U.S. Open,Golf,56.53
G,Francesco Molinari (10765194),Francesco Molinari,10765194,G,7600,U.S. Open,Golf,73.84
G,Matt Kuchar (10765195),Matt Kuchar,10765195,G,7600,U.S. Open,Golf,69.68
G,Keegan Bradley (10765196),Keegan Bradley,10765196,G,7600,U.S. Open,Golf,66.37
G,Daniel Berger (10765197),Daniel Berger,10765197,G,7600,U.S. Open,Golf,64.46
G,Tony Finau (10765198),Tony Finau,10765198,G,7500,U.S. Open,Golf,71.94
G,Cameron Smith (10765199),Cameron Smith,10765199,G,7500,U.S. Open,Golf,68.73
G,Xander Schauffele (10765200),Xander Schauffele,10765200,G,7500,U.S. Open,Golf,62.09
G,Aaron Wise (10765201),Aaron Wise,10765201,G,7400,U.S. Open,Golf,60.26
G,Martin Kaymer (10765202),Martin Kaymer,10765202,G,7400,U.S. Open,Golf,56.78
G,Matthew Fitzpatrick (10765203),Matthew Fitzpatrick,10765203,G,7400,U.S. Open,Golf,74.18
G,Brandt Snedeker (10765204),Brandt Snedeker,10765204,G,7300,U.S. Open,Golf,56.33
G,Kevin Kisner (10765205),Kevin Kisner,10765205,G,7300,U.S. Open,Golf,58.17
G,Jimmy Walker (10765206),Jimmy Walker,10765206,G,7300,U.S. Open,Golf,65.21
G,Ian Poulter (10765207),Ian Poulter,10765207,G,7300,U.S. Open,Golf,70.29
G,Kyle Stanley (10765208),Kyle Stanley,10765208,G,7200,U.S. Open,Golf,64.14
G,Rafael Cabrera-Bello (10765209),Rafael Cabrera-Bello,10765209,G,7200,U.S. Open,Golf,77.86
G,Kevin Chappell (10765210),Kevin Chappell,10765210,G,7200,U.S. Open,Golf,59.44
G,Shane Lowry (10765211),Shane Lowry,10765211,G,7200,U.S. Open,Golf,62.74
G,Brian Harman (10765212),Brian Harman,10765212,G,7200,U.S. Open,Golf,72.4
G,Kiradech Aphibarnrat (10765213),Kiradech Aphibarnrat,10765213,G,7200,U.S. Open,Golf,77.10
